02/01/2019,Fri,04:22,11.68,356,H
02/01/2019,Fri,09:37,7.57,231,L
02/01/2019,Fri,14:02,10.68,326,H
02/01/2019,Fri,21:10,-0.44,-13,L
02/02/2019,Sat,05:00,12.06,368,H
02/02/2019,Sat,10:24,7.35,224,L
02/02/2019,Sat,14:49,10.53,321,H
02/02/2019,Sat,21:48,-0.59,-18,L
02/03/2019,Sun,05:31,12.21,372,H
02/03/2019,Sun,11:02,7.09,216,L
02/03/2019,Sun,15:31,10.45,319,H
02/03/2019,Sun,22:24,-0.63,-19,L
02/04/2019,Mon,05:56,12.22,372,H
02/04/2019,Mon,11:33,6.79,207,L
02/04/2019,Mon,16:11,10.39,317,H
02/04/2019,Mon,22:59,-0.55,-17,L
02/05/2019,Tue,06:17,12.21,372,H
02/05/2019,Tue,12:01,6.43,196,L
02/05/2019,Tue,16:50,10.3,314,H
02/05/2019,Tue,23:33,-0.32,-10,L
02/06/2019,Wed,06:38,12.24,373,H
02/06/2019,Wed,12:30,5.96,182,L
02/06/2019,Wed,17:30,10.17,310,H
02/07/2019,Thu,00:07,0.1,3,L
02/07/2019,Thu,07:02,12.29,375,H
02/07/2019,Thu,13:02,5.42,165,L
02/07/2019,Thu,18:12,9.96,304,H
02/08/2019,Fri,00:41,0.74,23,L
02/08/2019,Fri,07:29,12.32,376,H
02/08/2019,Fri,13:36,4.8,146,L
02/08/2019,Fri,18:57,9.68,295,H
02/09/2019,Sat,01:16,1.63,50,L
02/09/2019,Sat,07:58,12.26,374,H
02/09/2019,Sat,14:15,4.14,126,L
02/09/2019,Sat,19:47,9.34,285,H
02/10/2019,Sun,01:53,2.76,84,L
02/10/2019,Sun,08:29,12.1,369,H
02/10/2019,Sun,14:58,3.46,105,L
02/10/2019,Sun,20:45,9.02,275,H
02/11/2019,Mon,02:32,4.08,124,L
02/11/2019,Mon,09:02,11.85,361,H
02/11/2019,Mon,15:46,2.76,84,L
02/11/2019,Mon,21:54,8.8,268,H
02/12/2019,Tue,03:17,5.48,167,L
02/12/2019,Tue,09:38,11.54,352,H
02/12/2019,Tue,16:39,2.01,61,L
02/12/2019,Tue,23:19,8.87,270,H
02/13/2019,Wed,04:16,6.81,208,L
02/13/2019,Wed,10:21,11.25,343,H
02/13/2019,Wed,17:37,1.19,36,L
02/14/2019,Thu,01:01,9.4,287,H
02/14/2019,Thu,05:39,7.8,238,L
02/14/2019,Thu,11:12,11.06,337,H
02/14/2019,Thu,18:37,0.29,9,L
02/15/2019,Fri,02:30,10.28,313,H
02/15/2019,Fri,07:12,8.19,250,L
02/15/2019,Fri,12:11,11.04,336,H
02/15/2019,Fri,19:34,-0.66,-20,L
02/16/2019,Sat,03:26,11.16,340,H
02/16/2019,Sat,08:26,8,244,L
02/16/2019,Sat,13:12,11.21,342,H
02/16/2019,Sat,20:29,-1.52,-46,L
02/17/2019,Sun,04:08,11.88,362,H
02/17/2019,Sun,09:23,7.46,227,L
02/17/2019,Sun,14:13,11.51,351,H
02/17/2019,Sun,21:20,-2.14,-65,L
02/18/2019,Mon,04:45,12.42,379,H
02/18/2019,Mon,10:11,6.69,204,L
02/18/2019,Mon,15:10,11.8,360,H
02/18/2019,Mon,22:09,-2.4,-73,L
02/19/2019,Tue,05:20,12.8,390,H
02/19/2019,Tue,10:57,5.76,176,L
02/19/2019,Tue,16:07,11.95,364,H
02/19/2019,Tue,22:56,-2.2,-67,L
02/20/2019,Wed,05:54,13.06,398,H
02/20/2019,Wed,11:43,4.76,145,L
02/20/2019,Wed,17:03,11.88,362,H
02/20/2019,Wed,23:42,-1.52,-46,L
02/21/2019,Thu,06:30,13.19,402,H
02/21/2019,Thu,12:29,3.75,114,L
02/21/2019,Thu,18:01,11.58,353,H
02/22/2019,Fri,00:28,-0.39,-12,L
02/22/2019,Fri,07:05,13.16,401,H
02/22/2019,Fri,13:18,2.83,86,L
02/22/2019,Fri,19:00,11.09,338,H
02/23/2019,Sat,01:14,1.1,34,L
02/23/2019,Sat,07:42,12.97,395,H
02/23/2019,Sat,14:07,2.09,64,L
02/23/2019,Sat,20:04,10.5,320,H
02/24/2019,Sun,02:02,2.81,86,L
02/24/2019,Sun,08:21,12.56,383,H
02/24/2019,Sun,15:00,1.58,48,L
02/24/2019,Sun,21:15,9.96,304,H
02/25/2019,Mon,02:55,4.55,139,L
02/25/2019,Mon,09:02,11.97,365,H
02/25/2019,Mon,15:55,1.29,39,L
02/25/2019,Mon,22:41,9.64,294,H
02/26/2019,Tue,03:59,6.12,187,L
02/26/2019,Tue,09:49,11.25,343,H
